name,description,usage,side_effects,disease
布洛芬,一种常用的非甾体抗炎药,退烧止痛,胃部不适;恶心;头痛,感冒
阿司匹林,经典止痛退热抗炎药,解热镇痛抗炎,胃痛;过敏,心血管疾病
青霉素,典型抗生素,抗菌消炎,过敏反应;皮疹,细菌感染
头孢菌素,广谱抗生素,抗菌治疗,过敏;腹泻;头晕,呼吸道感染
阿莫西林,β-内酰胺类抗生素,消炎抗菌,腹泻;皮疹;过敏反应,中耳炎
红霉素,大环内酯类抗生素,抗菌消炎,恶心;腹泻;肝损害,肺炎
对乙酰氨基酚,常见解热镇痛药,退烧镇痛,肝损害;皮疹;过敏,发热
甲硝唑,硝基咪唑类药物,抗厌氧菌,头晕;恶心;口腔异味,阴道炎
氟喹诺酮类,合成抗菌药,广谱抗菌,腱炎;肌肉酸痛;光敏性,尿路感染
克拉霉素,大环内酯类抗生素,抗菌治疗,腹泻;恶心;腹痛,支气管炎
利巴韦林,核苷类抗病毒药,抗病毒治疗,溶血性贫血;肌肉酸痛,病毒感染
奥司他韦,神经氨酸酶抑制剂,抗流感病毒,恶心;呕吐;腹泻,流感
阿昔洛韦,鸟苷核苷类似物,抗病毒,头晕;皮疹;肾损害,单纯疱疹病毒感染
更昔洛韦,鸟苷类似物,抗病毒治疗,骨髓抑制;肾损害;头晕,巨细胞病毒感染
伐昔洛韦,无环鸟苷衍生物,抗病毒,头痛;头晕;肾功能异常,水痘
干扰素,细胞因子类生物制剂,抗病毒免疫调节,发热;肌肉酸痛;疲劳,乙肝
拉米夫定,核苷类逆转录酶抑制剂,抗病毒,乳酸酸中毒;脂肪肝,乙肝
替诺福韦,核苷酸类逆转录酶抑制剂,抗病毒,肾功能异常;低磷血症,乙肝/艾滋病
硫酸沙丁胺醇,选择性β2受体激动剂,支气管扩张,心悸;手指震颤;头痛,哮喘
异丙肾上腺素,β肾上腺素能激动剂,支气管扩张,心悸;心律不齐;头痛,哮喘发作
色甘酸钠,色甘酸类,预防哮喘,喉部刺激;干咳;头痛,过敏性哮喘
布地奈德,糖皮质激素,抗炎抗过敏,口腔念珠菌病;声音嘶哑,哮喘
氟替卡松,糖皮质激素,抗炎平喘,声音嘶哑;口腔念珠菌病,慢性阻塞性肺病
沙美特罗,长效β2受体激动剂,长效支气管扩张,心悸;肌肉酸痛;头痛,哮喘
福莫特罗,长效β2受体激动剂,长效支气管扩张,心悸;头痛;神经过敏,慢阻肺
茶碱,磷酸二酯酶抑制剂,支气管扩张,心悸;失眠;神经过敏,哮喘
氨溴索,祛痰药,祛痰,腹泻;恶心;皮疹,咳嗽
乙酰半胱氨酸,粘液溶解剂,祛痰,头晕;皮疹;胃部不适,痰多咳嗽
右美沙芬,中枢镇咳药,镇咳,头晕;嗜睡;便秘,干咳
福尔可定,中枢镇咳药,镇咳,嗜睡;头晕;便秘,咳嗽
甲酚羟基哌啶,镇咳药,镇咳,嗜睡;便秘;头晕,干咳
苯海拉明,第一代组胺H1受体拮抗剂,抗过敏,嗜睡;口干;尿潴留,过敏性皮炎
异丙嗪,酚噻嗪类抗组胺药,抗过敏镇静,嗜睡;口干;头晕,过敏反应
氯苯那敏,组胺H1受体拮抗剂,抗过敏,嗜睡;口干;头晕,过敏性疾病
氯雷他定,第二代组胺H1受体拮抗剂,抗过敏,口干;头痛;嗜睡轻微,过敏性鼻炎
西替利嗪,第二代H1受体拮抗剂,抗过敏,嗜睡;口干;头痛,荨麻疹
